Instance,$\delta$ norm,MSE,F1,SSIM,AreaCell2Fire,AreaKitral,FTYPE,running_time_s
Hom_Fuel_1,33.106,0.171,0.828,0.605,2593,3305,PCH1,0.474
Hom_Fuel_2,20.616,0.066,0.931,0.749,2623,2544,PCH2,0.444
Hom_Fuel_3,12.61,0.025,0.956,0.874,1062,1125,PCH3,0.269
Hom_Fuel_4,11.091,0.019,0.956,0.898,777,832,PCH4,0.224
Hom_Fuel_5,4.359,0.003,0.788,0.981,13,32,PCH5,0.08
Hom_Fuel_6,14.765,0.034,0.895,0.877,484,654,MT01,0.221
Hom_Fuel_7,14.107,0.031,0.922,0.861,699,742,MT02,0.222
Hom_Fuel_8,4.243,0.003,0.904,0.984,38,56,MT03,0.073
Hom_Fuel_9,7.211,0.008,0.955,0.953,308,300,MT04,0.153
Hom_Fuel_10,15.843,0.039,0.937,0.841,1328,1141,MT05,0.271
Hom_Fuel_11,12.767,0.025,0.952,0.884,1062,931,MT06,0.261
Hom_Fuel_12,4.123,0.003,0.918,0.984,44,61,MT07,0.061
Hom_Fuel_13,7.681,0.009,0.938,0.949,251,248,MT08,0.138
Hom_Fuel_14,4.69,0.003,0.93,0.981,70,88,BN01,0.093
Hom_Fuel_15,4.472,0.003,0.864,0.981,27,47,BN02,0.08
Hom_Fuel_16,4.359,0.003,0.778,0.981,12,31,BN03,0.059
Hom_Fuel_17,4.123,0.003,0.902,0.983,35,52,BN04,0.071
Hom_Fuel_18,5.196,0.004,0.917,0.976,73,92,BN05,0.098
Hom_Fuel_19,20.125,0.063,0.925,0.791,2069,1800,PL01,0.323
Hom_Fuel_20,9.798,0.015,0.942,0.923,468,424,PL02,0.17
Hom_Fuel_21,4.796,0.004,0.936,0.977,79,102,PL03,0.085
Hom_Fuel_22,4.899,0.004,0.943,0.977,101,115,PL04,0.098
Hom_Fuel_23,9.539,0.014,0.952,0.931,544,495,PL05,0.187
Hom_Fuel_24,18.735,0.055,0.711,0.85,144,495,PL06,0.116
Hom_Fuel_25,4.796,0.004,0.942,0.978,89,112,PL07,0.093
Hom_Fuel_26,13.266,0.028,0.951,0.876,1135,1035,PL08,0.241
Hom_Fuel_27,8,0.01,0.955,0.946,391,357,PL09,0.169
Hom_Fuel_28,6.782,0.007,0.939,0.958,186,200,PL10,0.125
Hom_Fuel_29,4.472,0.003,0.843,0.98,22,42,PL11,0.063
Hom_Fuel_30,4.243,0.003,0.936,0.983,62,80,DX01,0.091
Hom_Fuel_31,4.583,0.003,0.909,0.979,48,69,DX02,0.088
Portezuelo_0,22.738,0.081,0.908,0.728,1864,2309,Other,0.632
Portezuelo_45,18.921,0.056,0.942,0.808,2576,2514,Other,0.651
Portezuelo_90,20.809,0.068,0.908,0.722,1625,1500,Other,0.59
Portezuelo_135,19,0.056,0.926,0.769,1772,1475,Other,0.453
Portezuelo_180,18.439,0.053,0.93,0.782,1651,1623,Other,0.443
Portezuelo_225,22,0.076,0.912,0.728,1944,2054,Other,0.529
Portezuelo_270,17.059,0.045,0.947,0.798,1946,2021,Other,0.65
Portezuelo_315,20.543,0.066,0.929,0.778,2399,2269,Other,0.68